                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.55827,                0.65279,                0.93044,                0.70168,                0.77062,                0.79732,                0.61685,                0.65948,                 1.1188,                  1.021,             0.00088714,             0.00088714,             0.00088714
                    117,                0.59693,                0.60627,                0.96761,                0.70168,                0.77062,                0.79732,                0.61685,                0.65948,                 1.1188,                  1.021,             0.00088615,             0.00088615,             0.00088615
                    118,                0.54611,                0.61973,                0.91656,                0.70653,                 0.7717,                0.79104,                0.61322,                0.60561,                  1.129,                0.96137,             0.00088516,             0.00088516,             0.00088516
                    119,                0.56149,                0.58956,                0.93818,                0.72991,                0.72961,                0.76029,                0.60164,                0.60156,                 1.1366,                0.94959,             0.00088417,             0.00088417,             0.00088417
                    120,                0.53862,                0.68171,                0.91666,                0.73598,                0.74745,                0.74463,                0.59995,                0.64549,                 1.1244,                0.96855,             0.00088318,             0.00088318,             0.00088318
                    121,                0.54029,                0.60396,                0.91337,                0.73598,                0.74745,                0.74463,                0.59995,                0.64549,                 1.1244,                0.96855,             0.00088219,             0.00088219,             0.00088219
                    122,                 0.5299,                0.65063,                0.92773,                0.74192,                0.75246,                0.73764,                0.58943,                0.69381,                 1.1177,                  0.993,              0.0008812,              0.0008812,              0.0008812
                    123,                0.57473,                0.63373,                 0.9211,                0.76422,                 0.7396,                0.75667,                0.59879,                0.67015,                 1.1194,                0.99163,             0.00088021,             0.00088021,             0.00088021
                    124,                 0.5639,                0.60845,                0.90954,                0.78601,                0.68025,                 0.7638,                0.61372,                0.61513,                 1.1014,                0.97394,             0.00087922,             0.00087922,             0.00087922
                    125,                 0.5375,                0.66163,                0.90906,                0.78601,                0.68025,                 0.7638,                0.61372,                0.61513,                 1.1014,                0.97394,             0.00087823,             0.00087823,             0.00087823
                    126,                0.57256,                0.62346,                0.92227,                0.69553,                0.74761,                 0.7872,                0.57911,                0.70799,                 1.1451,                  1.003,             0.00087724,             0.00087724,             0.00087724
                    127,                0.55891,                0.63297,                0.91912,                0.62655,                0.74896,                0.76155,                0.55869,                0.77488,                 1.1389,                 1.0828,             0.00087625,             0.00087625,             0.00087625
                    128,                0.54764,                0.66457,                0.92451,                0.57989,                0.85123,                0.75726,                0.52772,                0.80642,                 1.2004,                 1.1451,             0.00087526,             0.00087526,             0.00087526
                    129,                0.52146,                0.58085,                0.90016,                0.57989,                0.85123,                0.75726,                0.52772,                0.80642,                 1.2004,                 1.1451,             0.00087427,             0.00087427,             0.00087427
