                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.50689,                 0.5574,                0.91338,                0.75129,                0.87218,                0.85341,                 0.6859,                0.59341,                0.97158,                 0.9458,             0.00089902,             0.00089902,             0.00089902
                    105,                0.51174,                0.53879,                0.92593,                 0.7774,                0.86231,                0.86145,                0.69657,                0.55638,                0.83195,                0.92608,             0.00089803,             0.00089803,             0.00089803
                    106,                0.48612,                0.49694,                0.88974,                0.76327,                0.90042,                  0.852,                0.68872,                0.56438,                0.82058,                0.92179,             0.00089704,             0.00089704,             0.00089704
                    107,                 0.4801,                0.48495,                0.89349,                0.74272,                0.89538,                0.85529,                0.69828,                0.58795,                0.79355,                0.95035,             0.00089605,             0.00089605,             0.00089605
                    108,                0.46855,                0.48506,                0.89671,                0.74505,                 0.8412,                0.83142,                0.68303,                0.59489,                0.75657,                0.95104,             0.00089506,             0.00089506,             0.00089506
                    109,                0.49596,                0.54167,                0.91452,                0.74496,                0.88331,                0.84319,                 0.6922,                0.57954,                 0.7506,                0.94509,             0.00089407,             0.00089407,             0.00089407
                    110,                0.49558,                0.52953,                0.89918,                0.80673,                0.86111,                0.85256,                 0.7153,                0.55313,                0.73851,                0.93421,             0.00089308,             0.00089308,             0.00089308
                    111,                0.51439,                0.53418,                0.90127,                0.81371,                0.86935,                0.85759,                0.70975,                0.57155,                0.74321,                0.94176,             0.00089209,             0.00089209,             0.00089209
                    112,                0.48743,                0.50396,                0.89797,                0.83081,                0.84495,                0.84892,                0.68606,                0.57213,                0.76437,                0.94008,              0.0008911,              0.0008911,              0.0008911
                    113,                0.45756,                0.49806,                0.90189,                0.80826,                0.86891,                0.84561,                0.68118,                0.57517,                0.75395,                0.93252,             0.00089011,             0.00089011,             0.00089011
                    114,                0.47053,                0.49021,                0.90558,                0.82814,                0.85422,                0.84879,                0.69078,                 0.5698,                 0.7292,                0.93187,             0.00088912,             0.00088912,             0.00088912
                    115,                0.50287,                0.52569,                0.89215,                0.82435,                0.89106,                0.84983,                0.69752,                0.55863,                0.75353,                0.91507,             0.00088813,             0.00088813,             0.00088813
